,date,symbol,prev,open,high,low,last,close,avg,changed,p_change,volume,qpt,delivery,p_delivery,QPT_RATIO_20,DEL_RATIO_20,DEL_P_RATIO_20,VOL_RATIO_20
171,2022-11-02 18:30:00+00:00,gail,91.3000,91.0,91.2,90.2,90.7500,90.55,90.6500,-0.7500,-0.8283,12821695.0000,460.4006,9211260.0000,71.8400,,,,
242,2022-11-03 18:30:00+00:00,gail,90.5500,91.0,91.35,88.1,88.9000,88.55,90.0000,-2.0000,-2.2586,13339109.0000,269.3137,6201642.0000,46.4900,,,,
489,2022-11-06 18:30:00+00:00,gail,88.5500,88.55,90.8,88.0,90.5000,90.55,89.3100,2.0000,2.2087,13463366.0000,278.0079,6157811.0000,45.7400,,,,
650,2022-11-08 18:30:00+00:00,gail,90.5500,90.5,90.55,88.25,88.6500,88.6,89.2800,-1.9500,-2.2009,12172444.0000,258.5316,7738030.0000,63.5700,,,,
775,2022-11-09 18:30:00+00:00,gail,88.6000,88.5,89.2,87.95,88.1000,88.2,88.3700,-0.4000,-0.4535,6898707.0000,183.5983,4090085.0000,59.2900,,,,
984,2022-11-10 18:30:00+00:00,gail,88.2000,89.0,89.35,88.05,88.9500,88.85,88.6600,0.6500,0.7316,8365138.0000,255.8146,4297045.0000,51.3700,,,,
1266,2022-11-13 18:30:00+00:00,gail,88.8500,88.6,88.65,87.9,88.1000,88.1,88.2400,-0.7500,-0.8513,7996003.0000,300.3419,5205127.0000,65.1000,,,,
1428,2022-11-14 18:30:00+00:00,gail,88.1000,88.1,90.0,88.05,89.9500,89.9,89.2200,1.8000,2.0022,8247787.0000,240.3061,4154762.0000,50.3700,,,,
1550,2022-11-15 18:30:00+00:00,gail,89.9000,90.0,91.25,89.25,90.7000,90.5,90.3600,0.6000,0.6630,10223428.0000,245.8028,4555366.0000,44.5600,,,,
1848,2022-11-16 18:30:00+00:00,gail,90.5000,90.5,90.9,89.35,90.0000,90.15,89.9900,-0.3500,-0.3882,4925266.0000,192.0856,2224481.0000,45.1600,,,,
2028,2022-11-17 18:30:00+00:00,gail,90.1500,90.65,91.55,89.8,90.6000,90.3,90.4900,0.1500,0.1661,14475534.0000,333.5607,7556965.0000,52.2100,,,,
2162,2022-11-20 18:30:00+00:00,gail,90.3000,90.3,90.65,89.5,89.8000,89.65,89.9400,-0.6500,-0.7250,7845740.0000,214.8164,4578146.0000,58.3500,,,,
2373,2022-11-21 18:30:00+00:00,gail,89.6500,90.4,91.25,89.5,91.1000,91.1,90.5000,1.4500,1.5917,18535213.0000,386.0859,9794575.0000,52.8400,,,,
2540,2022-11-22 18:30:00+00:00,gail,91.1000,91.4,91.4,90.0,90.7500,90.8,90.7600,-0.3000,-0.3304,8624491.0000,281.0654,4461863.0000,51.7300,,,,
2772,2022-11-23 18:30:00+00:00,gail,90.8000,90.9,92.45,90.75,92.1500,92.1,91.8200,1.3000,1.4115,14011196.0000,336.5325,7949717.0000,56.7400,,,,
